Found 69 unique tickers. Scanning...
Ticker  Price  Dist_50MA(%)   RSI  PEG FCF_Positive  Fwd_PE
   TLN 343.40         -3.83 49.56  NaN          Yes    9.66
  GPCR  42.25         -3.43 68.71  NaN           No  -22.21
  RCAT  11.43         -3.10 60.89  NaN           No  -31.75
    MA 486.85         -2.54 42.97 1.49          Yes   21.38
   ETN 390.26         -2.49 55.31 3.05          Yes   24.82
  LITE 875.19         -2.14 50.50 0.63          Yes   48.36
  MSFT 403.11         -1.79 42.53 1.27          Yes   20.84
  SNPS 464.66         -1.69 40.90 3.00          Yes   26.96
  ANET 153.90         -0.28 59.39 2.01          Yes   34.61
  NVDA 205.87          0.13 36.12 0.64          Yes   16.24
    HD 322.47          0.65 65.77 1.75          Yes   20.02
     V 320.51          0.85 39.58 1.40          Yes   21.56
   FCX  64.33          0.92 57.67 4.33          Yes   16.75
  GSAT  81.02          1.02 40.85 0.50           No  264.51
  ASTS  90.30          1.42 50.31  NaN           No -440.55
 GOOGL 366.15          1.82 33.68 1.43          Yes   25.32
    BE 251.23          2.75 40.35 1.35          Yes   57.74
   NVO  43.62          3.53 44.85 3.07           No   13.17
